time_iso8601,forks_cumulative
2021-11-02 00:00:00+00:00,1
2021-11-03 00:00:00+00:00,2
2021-11-08 00:00:00+00:00,3
2021-11-12 00:00:00+00:00,4
2021-11-30 00:00:00+00:00,5
2021-12-16 00:00:00+00:00,6
2021-12-17 00:00:00+00:00,8
2021-12-21 00:00:00+00:00,9
2022-01-27 00:00:00+00:00,10
2022-03-29 00:00:00+00:00,11
2022-04-04 00:00:00+00:00,13
2022-05-11 00:00:00+00:00,14
2022-06-13 00:00:00+00:00,15
2022-07-18 00:00:00+00:00,16
2022-07-28 00:00:00+00:00,18
2022-08-17 00:00:00+00:00,20
2022-08-26 00:00:00+00:00,21
2022-08-29 00:00:00+00:00,22
2022-09-09 00:00:00+00:00,23
2022-09-15 00:00:00+00:00,24
2022-09-16 00:00:00+00:00,26
2022-09-19 00:00:00+00:00,27
2022-10-25 00:00:00+00:00,28
2022-11-03 00:00:00+00:00,29
2022-11-07 00:00:00+00:00,30
2022-11-16 00:00:00+00:00,31
2022-12-02 00:00:00+00:00,32
2022-12-22 00:00:00+00:00,33
2023-01-07 00:00:00+00:00,35
2023-01-11 00:00:00+00:00,36
2023-01-14 00:00:00+00:00,37
2023-01-16 00:00:00+00:00,38
2023-02-07 00:00:00+00:00,39
2023-02-18 00:00:00+00:00,40
2023-02-22 00:00:00+00:00,41
2023-03-03 00:00:00+00:00,42
2023-03-08 00:00:00+00:00,44
2023-03-12 00:00:00+00:00,45
2023-03-13 00:00:00+00:00,46
2023-03-24 00:00:00+00:00,47
2023-03-25 00:00:00+00:00,48
2023-03-29 00:00:00+00:00,49
2023-03-30 00:00:00+00:00,50
