url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,444,313
/aws-samples/aws-customer-playbook-framework/tree/main/docs,261,174
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,190,128
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_S3.md,90,70
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,48,31
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Linux.md,41,22
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_SES_Events.md,40,25
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Unauthorized_Network_Changes.md,33,22
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,31,26
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Code_Exposure.md,25,18
