time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-06 00:00:00+00:00,13.0,6.0,227,77
2025-08-07 00:00:00+00:00,21.0,5.0,140,65
2025-08-08 00:00:00+00:00,11.0,5.0,174,58
2025-08-09 00:00:00+00:00,13.0,5.0,198,19
2025-08-10 00:00:00+00:00,12.0,6.0,225,19
2025-08-11 00:00:00+00:00,13.0,6.0,312,77
2025-08-12 00:00:00+00:00,18.0,7.0,329,142
2025-08-13 00:00:00+00:00,11.0,3.0,258,105
2025-08-14 00:00:00+00:00,2.0,2.0,289,79
2025-08-15 00:00:00+00:00,,,153,47
2025-08-16 00:00:00+00:00,,,154,20
2025-08-17 00:00:00+00:00,,,201,35
2025-08-18 00:00:00+00:00,,,203,73
2025-08-19 00:00:00+00:00,,,192,53
